siren,nom,adress_siege,code_postal_siege,code_NAF,activité
453605867,,11 ALL DES CHENES VERTS,33950,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
829987106,,16 RUE FRANCIS DECKER,56000,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
898532056,,106 RUE ROLAND BELOUET,45160,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
892595950,,1117 BD DU GRAND PARC,14200,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
892401514,,PALMISTE,97232,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
518051966,SAS DES MARECHAUX,22 RUE DE L'OISILLONNETTE,49300,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
494989239,,63 RTE DE BERGERAC,24230,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
898933247,,102 AV BOILEAU,94500,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
812984680,,4 LE MARAIS DE BOURCHEUIL,62119,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
900226929,M ET P,9 RUE QUATRE ALLIANCES,26200,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
894466705,,34 RTE ANCIENNE RTE DE SCHOELCHER,97233,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
950366500,,45 RUE ANTIMENE,97422,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
822863692,,361 CRS LES TERREFORTS,45220,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
501030456,WESTERN HERITAGE,3 RUE DE L ARRIVEE,75015,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
894895499,,74 RUE ALBERT DHALENNE,93400,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
432054195,,71 RUE DU GENERAL DE GAULLE,94290,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
493288229,BRETON,6 RUE DES LOMBARDS,27000,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
497591032,TPTC,1 AV MARECHAL JUIN,20090,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
481184265,MECALILY,14 RUE AU BLE,50100,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
