siren,nom,adress_siege,code_postal_siege,code_NAF,activité
781901210,CAVE COOPERATIVE VINICOLE LA GIRONDAISE,5 SAUSSIER,33190,11.02B,Fabrication de boissons
420742389,,4 LESCURE,33490,11.02B,Fabrication de boissons
781899927,CHATEAUX EN BOURGEAIS,39 RTE DES VIGNOBLES,33710,11.02B,Fabrication de boissons
782002901,COOP VINICOLE SYND COTES BX ST MACAIRE,1 RUE DES COOPERATIVES,33490,11.02B,Fabrication de boissons
349044081,FRANCOIS LURTON,DOM DOMAINE DE POUMEYRADE,33870,11.02B,Fabrication de boissons
915306690,VITISPACE,,33126,11.02B,Fabrication de boissons
327887683,GPT  VITI IND CANT SAUVETERRE  GUYENNE,28 PL MAIRIE,33540,11.02B,Fabrication de boissons
422664359,PROPRIETAIRE GDS CRUS CLASSES ST EMILION,RUE GUADET,33330,11.02B,Fabrication de boissons
423144989,DOMAINES JEAN MICHEL CAZES,METAIRIE DE CANTEMERLE,33460,11.02B,Fabrication de boissons
825122278,ENTRE DEUX CHAIS,16 RUE SAUBOTTE,33540,11.02B,Fabrication de boissons
789813706,DEVINEO CONSEILS,808 RTE DE LA COTE DE JOS,33420,11.02B,Fabrication de boissons
781936851,SCA LES VIGNERONS DES COTEAUX DE L'ISLE,LANDOURNERIE,33230,11.02B,Fabrication de boissons
781900477,CAVE COOPERATIVE DE GENISSAC,54 LE BOURG,33420,11.02B,Fabrication de boissons
950361295,YVON MAU,RUE SAINTE PETRONILLE,33190,11.02B,Fabrication de boissons
812612166,DOMAINE DE PRADAOU,5 CHE DES LANDES LIEU DIT PUJO,32150,11.02B,Fabrication de boissons
781913785,LES VIGNERONS DE LANDERROUAT DURAS CAZAUGITAT LANGOIRAN,RTE DES VIGNERONS,33790,11.02B,Fabrication de boissons
419984042,EURL RUFFET VINIFICATION,5 CHE RURAL N°7,33350,11.02B,Fabrication de boissons
781706130,UNION DES VITICULTEURS DE PORT STE FOY,78 RTE DE BORDEAUX,33220,11.02B,Fabrication de boissons
790019632,,156 RUE DE PARIS,95320,11.02B,Fabrication de boissons
418655106,PRODIMAS,LD LA BORNE NORD,33790,11.02B,Fabrication de boissons
907933766,,11 RUE MAURICE FERCHAUD,33910,11.02B,Fabrication de boissons
781971312,VIGNERONS DE PUISSEGUIN LUSSAC SAINT-EMILION,LD DURAND,33570,11.02B,Fabrication de boissons
781900782,SOC VINI COTES DE GENSAC GRAVES DEVAYRES,,33890,11.02B,Fabrication de boissons
781918388,CAVE COOPERATIVE VINICOLE DE LAPOUYADE,2 LE HAUT PRADOT,33620,11.02B,Fabrication de boissons
537622003,,4 LD LA SERRE,33420,11.02B,Fabrication de boissons
781924634,CAVE COOP LES LEVES ST ANDRE LA ROQUILLE,,33220,11.02B,Fabrication de boissons
535262224,FC VINS,11 RUE BEAUGEY,33360,11.02B,Fabrication de boissons
378031595,SCEA BARREJATS,CLOS DE GENSAC,33210,11.02B,Fabrication de boissons
521375162,FILTRATION 33,1 CHE DE GUEYDON,33910,11.02B,Fabrication de boissons
805123460,MEDOC WINE LOGISTIC,CHEMIN DE LA MOTHE,33112,11.02B,Fabrication de boissons
948509146,SODAREX AVENIR,50 RUE DE BELFORT,33000,11.02B,Fabrication de boissons
781892062,UNION PRODUCTEURS BARON ESPIET,FOURCADE,33420,11.02B,Fabrication de boissons
477683619,ESPIOT ET FILS,,33860,11.02B,Fabrication de boissons
499051969,LA GALAURA,4 AV DES CORBIERES,11220,11.02B,Fabrication de boissons
781779426,COOPER INTERCOMMUNALE VINIFICATION BLASI,,33540,11.02B,Fabrication de boissons
440315281,,105 AV DU GENERAL DE GAULLE,33350,11.02B,Fabrication de boissons
781952536,CAVE COOPERATIVE INTERCOM DE NERIGEAN,287 RTE DE LA SOULOIRE,33750,11.02B,Fabrication de boissons
781938030,COOP UTILIS VINS ET SOUS-PRODUITS MARSAS,,33620,11.02B,Fabrication de boissons
781905336,CAVE COOPERATIVE VINICOLE INTERCOM GUITR,,33230,11.02B,Fabrication de boissons
